,Load,Wind,Solar,Nuclear,NetLoad1,DispGen,NetLoad2
1/1/2017 12:00 AM,29420.63569,2223.322998,0,4712,22485.31269,16678,5807.312693
1/1/2017 1:00 AM,28870.81355,2197.69873,0,4712,21961.11482,15906,6055.114821
1/1/2017 2:00 AM,28211.72408,2374.120117,0,4712,21125.60396,15165,5960.603961
1/1/2017 3:00 AM,27820.28805,2777.874268,0,4712,20330.41378,14669,5661.41378
1/1/2017 4:00 AM,27628.95568,2654.720215,0,4712,20262.23546,14755,5507.235462
1/1/2017 5:00 AM,27787.65613,2820.150146,0,4712,20255.50598,14532,5723.505984
1/1/2017 6:00 AM,28374.05729,3410.426758,0,4712,20251.63053,14373,5878.630531
1/1/2017 7:00 AM,29050.54678,4003.41748,0,4712,20335.1293,14555,5780.129304
1/1/2017 8:00 AM,29820.16826,5272.282715,0,4712,19835.88554,13485,6350.885542
1/1/2017 9:00 AM,30848.39293,6090.85791,26.14578911,4712,20019.38923,14657,5362.389228
1/1/2017 10:00 AM,31500.00404,4432.430176,30.67668526,4712,22324.89718,16407,5917.897178
1/1/2017 11:00 AM,31980.15115,3460.369629,46.09822052,4712,23761.6833,16644,7117.683297
1/1/2017 12:00 PM,32272.4742,4352.42041,51.55018002,4712,23156.50361,16250,6906.50361
1/1/2017 1:00 PM,32330.77543,5266.769043,62.79770898,4712,22289.20868,15752,6537.208681
1/1/2017 2:00 PM,32273.82122,6229.317383,59.2055349,4712,21273.2983,14575,6698.298298
1/1/2017 3:00 PM,32288.18341,6817.533203,40.58509038,4712,20718.06512,14333,6385.06512
1/1/2017 4:00 PM,32320.68006,6711.384277,24.00730503,4712,20873.28848,14448,6425.288477
1/1/2017 5:00 PM,33298.33293,6536.276855,29.12874316,4712,22020.92733,15812,6208.927329
1/1/2017 6:00 PM,35091.41044,6625.699219,0,4712,23753.71122,16372,7381.71122
1/1/2017 7:00 PM,34806.31017,8903.481445,0,4712,21190.82872,14608,6582.828721
1/1/2017 8:00 PM,34061.37899,10126.78613,0,4712,19222.59286,12778,6444.592861
1/1/2017 9:00 PM,33161.34002,11572.83203,0,4712,16876.50798,12043,4833.507984
1/1/2017 10:00 PM,31711.97043,11055.29883,0,4712,15944.6716,10432,5512.671601
1/1/2017 11:00 PM,30108.52659,12608.1543,0,4712,12788.37229,9247,3541.372294
1/2/2017 12:00 AM,28505.90459,11219.7207,0,4712,12574.18389,9622,2952.183887
1/2/2017 1:00 AM,27488.55797,9105.629883,0,4712,13670.92809,9599,4071.928087
1/2/2017 2:00 AM,26919.20142,8870.602539,0,4712,13336.59888,9578,3758.598882
1/2/2017 3:00 AM,26832.55888,8505.555664,0,4712,13615.00321,8737,4878.003212
1/2/2017 4:00 AM,27194.66353,10272.90234,0,4712,12209.76119,8635,3574.761188
1/2/2017 5:00 AM,28087.61912,10217.94043,0,4712,13157.67869,9304,3853.678693
1/2/2017 6:00 AM,29421.88417,10367.11523,0,4712,14342.76894,10077,4265.76894
1/2/2017 7:00 AM,30365.4705,10820.78613,0,4712,14832.68437,10775,4057.684366
1/2/2017 8:00 AM,31323.56563,10877.24023,0,4712,15734.3254,11201,4533.325398
1/2/2017 9:00 AM,32279.58922,10037.14648,21.59180919,4712,17508.85092,12677,4831.850922
1/2/2017 10:00 AM,33239.66376,9072.858398,30.23058798,4712,19424.57478,14279,5145.574777
1/2/2017 11:00 AM,34064.69272,9172.65332,42.06943295,4712,20137.96997,15001,5136.96997
1/2/2017 12:00 PM,34566.90178,8660.191406,49.06681263,4712,21145.64356,15657,5488.643562
1/2/2017 1:00 PM,35029.38866,7931.404297,48.88730652,4712,22337.09705,15785,6552.097053
1/2/2017 2:00 PM,35405.03185,8313.164063,44.14343239,4712,22335.72435,16099,6236.724351
1/2/2017 3:00 PM,35585.88491,7668.572266,43.04319508,4712,23162.26945,16852,6310.269452
1/2/2017 4:00 PM,35508.17482,6739.970215,45.58133201,4712,24010.62327,17231,6779.623273
1/2/2017 5:00 PM,35890.76543,5393.751465,32.37779305,4712,25752.63617,18342,7410.636167
1/2/2017 6:00 PM,37412.10154,5366.964844,0,4712,27333.1367,18454,8879.136698
1/2/2017 7:00 PM,36921.30944,7303.958008,0,4712,24905.35143,17271,7634.351434
1/2/2017 8:00 PM,35943.57833,8053.88916,0,4712,23177.68917,15864,7313.68917
1/2/2017 9:00 PM,34508.227,9138.885742,0,4712,20657.34126,14278,6379.341261
1/2/2017 10:00 PM,32283.30127,9958.448242,0,4712,17612.85303,12277,5335.853031
1/2/2017 11:00 PM,29898.28641,10081.6377,0,4712,15104.64871,10407,4697.64871
1/3/2017 12:00 AM,28269.64253,9780.740234,0,4712,13776.9023,9521,4255.902297
1/3/2017 1:00 AM,27279.2635,9370.341797,0,4712,13196.9217,9335,3861.9217
1/3/2017 2:00 AM,26878.29274,8913.539063,0,4712,13252.75367,8877,4375.753675
1/3/2017 3:00 AM,26976.52107,9293.366211,0,4712,12971.15486,8943,4028.154861
1/3/2017 4:00 AM,27687.99002,8986.350586,0,4712,13989.63943,10093,3896.639432
1/3/2017 5:00 AM,29922.13676,7935.029297,0,4712,17275.10746,11873,5402.107463
1/3/2017 6:00 AM,33522.87271,7692.257324,0,4712,21118.61539,14729,6389.61539
1/3/2017 7:00 AM,35372.41454,7675.290527,0,4712,22985.12402,16195,6790.124015
1/3/2017 8:00 AM,35502.14759,7757.077637,14.48857509,4712,23018.58138,16145,6873.581381
1/3/2017 9:00 AM,35618.09177,7527.175293,188.7219078,4712,23190.19456,16018,7172.194564
1/3/2017 10:00 AM,35977.54295,7133.914063,238.0458369,4712,23893.58305,16998,6895.583048
1/3/2017 11:00 AM,36312.62682,6141.235352,273.9476269,4712,25185.44384,17858,7327.443838
1/3/2017 12:00 PM,36735.01483,5568.46582,313.6124288,4712,26140.93658,18562,7578.936579
1/3/2017 1:00 PM,37265.89899,5139.899902,326.579479,4712,27087.41961,19350,7737.419614
1/3/2017 2:00 PM,37603.06408,4820.458008,305.4538792,4712,27765.15219,20077,7688.152192
1/3/2017 3:00 PM,37797.31107,4450.996094,271.0024528,4712,28363.31252,19925,8438.312519
1/3/2017 4:00 PM,38190.95296,4605.970703,230.8911821,4712,28642.09108,20785,7857.091075
1/3/2017 5:00 PM,39279.57973,4648.481934,212.5956655,4712,29706.50213,21730,7976.502128
1/3/2017 6:00 PM,41175.97019,4888.766602,0.076,4712,31575.12759,21870,9705.127593
1/3/2017 7:00 PM,40990.59539,6311.068848,0,4712,29967.52654,21270,8697.52654
1/3/2017 8:00 PM,40316.61391,7293.841309,0,4712,28310.77261,20585,7725.772606
1/3/2017 9:00 PM,38939.40819,7211.648926,0,4712,27015.75926,19846,7169.759263
1/3/2017 10:00 PM,36745.93008,6254.520508,0,4712,25779.40957,19196,6583.409568
1/3/2017 11:00 PM,34549.01191,5108.771973,0,4712,24728.23994,18872,5856.239941
1/4/2017 12:00 AM,33266.87405,4467.720703,0,4712,24087.15335,17715,6372.153349
1/4/2017 1:00 AM,32946.91517,4701.121094,0,4712,23533.79407,17656,5877.794073
1/4/2017 2:00 AM,33018.70169,4045.740967,0,4712,24260.96072,17973,6287.96072
1/4/2017 3:00 AM,33664.33543,4457.408203,0,4712,24494.92723,18588,5906.92723
1/4/2017 4:00 AM,35119.03462,4356.464844,0,4712,26050.56978,19285,6765.569776
1/4/2017 5:00 AM,37996.60666,4677.674805,0,4712,28606.93186,20417,8189.931858
1/4/2017 6:00 AM,42548.15891,4353.779785,0,4712,33482.37913,24428,9054.379126
