VOM
3
3
3
5
5
4.5
4.5
4
4
4
4
4
4
4
5
5
5
5
5
5
4.5
4.5
4.5
4.5
4.5
4.5
4.5
4.5
5
5
5
5
5
5
5
4
4
5
4
4
4
4
3
3
3
3
4
4
4
4
4
5
5
5
5
5
5
5
5
5
5
5
4
4
4
5
5
5
5
4
4
4.5
5
5
5
4
4
4
4
4
4
5
5
5
5
4
4
5
5
5
5
4
4
4
5
5
4
4
4
6
6
6
6
6
6
6
4.5
5
5
6
6
6
4
4
4
4.5
4.5
4
4
3
3
3
3
3
3
3
3
3
3
3
3
5
5
4
4
4
3
3
3
3
5
5
4.5
5
4.5
4.5
4.5
4.5
5
5
5
5
5
5
5
5
5
5
3
4.5
4.5
4.5
4.5
4.5
4.5
4.5
4.5
4.5
4.5
5
5
5
5
5
5
4.5
4.5
4.5
4.5
4.5
5
5
4.5
4.5
4.5
4.5
4.5
4.5
4.5
4.5
4.5
5
4.5
4.5
4.5
4.5
4
3
3
3
3
3
3
5
4.5
4
4
4
4
4.5
4.5
4.5
4.5
4.5
4.5
5
4.5
4.5
5
5
5
5
4.5
4.5
4.5
4.5
4.5
4.5
4.5
4.5
4.5
4.5
4.5
4.5
4.5
4.5
4.5
4.5
4.5
4.5
4.5
4.5
4.5
4.5
4.5
4.5
4.5
4.5
4.5
4.5
4.5
4.5
4.5
4.5
4.5
4.5
4.5
4.5
4.5
4.5
4.5
4.5
4.5
4.5
4.5
4.5
4.5
4.5
4.5
4
4.5
4.5
4.5
4.5
4.5
5
5
5
5
0
4.5
4.5
4.5
4.5
4.5
4.5
0
0
0
0
4.2
0
0
0
0
0
0
0
0
0
0
4.5
4.5
4.5
0
0
0
0
0
0
0
0
0
4.5
4.5
4.5
4.5
0
0
0
0
0
0
0
0
0
0
0
0
3
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
4.5
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
5
0
0
0
0
0
0
0
0
0
0
0
0
0
0
4.5
4.5
4.5
4.5
4.5
4.5
4.5
0
0
0
0
5
5
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
6
6
6
6
6
6
6
6
6
6
6
6
0
0
0
0
0
0
0
0
0
0
0
0
4.5
4.5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
4.5
